id,name,energy[kcal],protein[g],fat[g],carbs[g]
130,トマトとオクラのごまおかか和え,35,1.9,0.9,5.8
131,豆苗ともやしのごま酢和え,40,2.7,1,6
132,小松菜とこんにゃくのごま和え,22,1,0.6,4
133,チンゲン菜のさっぱりネギだれ,22,0.4,0.1,5
134,大根と長いもの梅びしお和え,23,0.6,0.1,5
135,小松菜の昆布和え,21,1.9,0.2,5.1
136,きのこのおろし和え,36,2.4,1.8,6.3
137,にんじんとえのきのナムル,52,0.8,3.6,5
138,きゅうりとワカメの酢の物,13,0.9,0.2,2.9
139,きゅうりとみょうがの甘酢和え,18,0.7,0.1,4.1
140,紅白なます,26,0.4,0.1,6
141,レタスサラダ,15,0.7,0.1,3.4
142,コーンサラダ,38,1.4,0.2,8.5
143,ツナサラダ,94,6,6.6,3.2
144,ポテトサラダ,207,4.4,12.2,19.7
145,ごぼうサラダ,103,1.7,6.6,9.9
146,大根サラダ,14,0.5,0.1,3
147,春キャベツのサラダ,40,1.8,1,6.7
148,ミモザサラダ,119,3.3,8.7,7.6
149,かぼちゃのヨーグルトサラダ,103,1.9,5.5,12.3
150,かぼちゃサラダ,74,1.3,3.4,10.3
151,れんこんのマヨサラダ,91,2.1,6.2,7.2
152,白菜ツナサラダ,64,1.5,5.6,1.9
153,大根と水菜のサラダ,25,0.8,0.6,4.3
154,白菜とりんごのサラダ,42,0.5,2.1,5.7
155,れんこん挟み焼き＿きのこ餡かけ,213,12.8,11.3,14.5
156,しいたけの網焼き,9,1.4,0.2,2.3
157,焼き茄子,26,2.1,0.1,4.8
158,野菜の甘酢炒め,75,1,3.1,10.6
159,にんじんのカレーきんぴら,57,0.5,4.4,4.2
160,大根きんぴら,71,1,4.1,7.9
161,野菜きんぴら,100,2,4.2,13.4
162,大根の煮物,53,1.8,0.2,11.9
163,かぼちゃの煮物,124,2.5,0.3,26.7
164,切干大根の煮物,116,2.4,5.7,13.1
165,若竹煮,50,3.5,0.3,10.5
166,小松菜と桜えびの炒め煮,37,2.5,1.7,2.8
167,炊き合わせ,92,3.7,0.6,17.6
168,なすのおろし煮,60,1.1,3.1,6.8
169,ごろごろ野菜のポトフ＿カレー風味,222,12.9,13.3,12.3
170,こんにゃく土佐煮,32,1.9,0.1,5.6
171,ひじき煮,90,4.7,4.7,9.4
172,千切りキャベツ,7,0.4,0.1,1.6
173,ミニトマト,3,0.1,0,0.7
174,ブロッコリー,3,0.4,0.1,0.5
175,人参のグラッセ,15,0.1,0.8,2
176,里芋の含め煮,104,2.2,0.1,22.8
177,さつま芋の天ぷら,127,1.1,8.5,10.9
178,さつまいものデリ風サラダ,146,2.1,5.8,21.7
179,さつまいもの白和え,109,3.9,3.4,16.1
180,ジャーマンポテト,95,1.7,4.7,12.2
181,さつまいものレモン煮,86,0.6,0.1,20.8
182,山芋のカレー煮,131,8,5,12
183,豆腐とわかめのみそ汁,32,2.5,1.3,3
184,もやしと油揚げのみそ汁,53,3.4,3,3.4
185,大根と油揚げのみそ汁,56,2.9,3.1,4.4
186,なめこ汁,32,2.6,1.2,4
187,具だくさん味噌汁,43,1.9,0.5,8.2
188,だご汁,228,9.2,5.3,35.6
189,豚汁,104,6.1,2.8,13.7
190,あさりのみそ汁,26,2.7,0.6,2.2
191,大根のすまし汁,18,1.1,0.1,3.9
192,豆腐とえのきのすまし汁,23,2,0.6,2.2
193,豆腐とわかめのすまし汁,22,1.9,0.6,1.9
194,かき玉汁,47,3.7,2.6,2
195,卵豆腐のすまし汁,30,2.6,1.5,1.7
196,若竹汁,14,1.6,0.1,2.4
197,とろろ梅のお吸い物,17,1.5,0.2,3.1
198,押し麦とわかめのすまし汁,50,1.3,2.1,7.2
199,コーンスープ,109,4.3,4.1,14.2
200,かぼちゃのポタージュ,69,2.1,1.3,12.5
201,かぶのポタージュ,107,3.3,7,7.8
202,オニオンスープ,114,2.8,6,12.3
203,春キャベツの具沢山ミルクスープ,92,3.1,1.5,16.6
204,じゃがいものコンソメスープ,35,0.9,0.1,7.6
205,もやしとわかめのコンソメスープ,26,2.1,1.3,1.5
206,にら玉スープ,27,3.2,1.1,1.4
207,牛乳,101,5,5.7,7.2
208,ヨーグルト,43,2.5,2.1,3.4
211,6Pチーズ,85,5.7,6.5,0.3
212,スライスチーズ,61,4.1,4.7,0.2
213,バナナ,101,1.3,0.2,26.3
214,みかん,40,0.6,0.1,10.6
215,りんご,129,0.5,0.2,34.7
216,キウイフルーツ,54,1,0.1,13.8
217,いちご,3,0.1,0,0.8
218,オレンジ,44,1.1,0.1,11.2
219,グレープフルーツ,120,2.8,0.3,30.2
220,柿,109,0.7,0.4,28.9
221,梨,92,0.6,0.2,24.1
222,巨峰,142,1,0.2,37.7
223,もも,68,1,0.2,17.3
224,メロン,26,0.7,0.1,6.4
225,スイカ,111,1.8,0.3,28.5
226,りんごのコンポート,61,0.2,0.1,16.2
227,たこ焼き,322,17.9,10.2,36.6
228,お好み焼き,462,19.8,22.8,41.2
229,広島風お好み焼き,622,24.2,24.1,72.3
230,あめ,12,0,0,2.9
231,キャラメル,22,0.2,0.6,3.9
232,ポテトチップ,332,2.8,21.1,32.8
233,ミルクチョコレート,279,3.5,17.1,27.9
234,ショートケーキ,292,6.3,11.9,40
235,チョコレートケーキ,393,7.6,19.1,47.7
236,アップルパイ,228,3,13.1,24.5
237,シュークリーム,172,5.9,9.5,15.6
238,コーヒーゼリー,45,1.7,0,9.5
239,オレンジゼリー,70,2.3,0,15.3
240,プリン,113,5,4.5,13.2
241,アイスクリーム,189,4.1,8.4,24.4
242,回転饅頭,200,4,1,43.7
243,どら焼き,227,5,2.1,47.1
244,串団子,158,2.5,0.3,36.2
245,蒸饅頭,117,2.2,0.2,26.6
246,さくら餅,100,1.7,0.1,23.1
247,練ようかん,148,1.8,0.1,35
248,水ようかん,137,2.1,0.1,32
249,煎茶,2,0.2,0,0.2
250,番茶,0,0,0,0.1
251,麦茶,2,0,0,0.5
252,コーヒー,6,0.3,0,1.1
253,カフェオレ,53,2.6,2.9,4.1
254,紅茶,2,0.2,0,0.2
255,ミルクティー,51,2.6,2.9,3.7
256,レモンティー,2,0.2,0,0.3
257,ビール350缶,142,1.1,0,11
258,ビール大瓶,256,1.9,0,19.8
259,発泡酒350缶,159,0.4,0,12.7
260,日本酒,196,0.7,0,8.8
261,焼酎,142,0,0,0
262,ウイスキー,69,0,0,0
263,赤ワイン,58,0.2,0,1.2
264,白ワイン,58,0.1,0,1.6
265,コーラ,230,0.5,0,57
266,サイダー,205,0,0,51
267,塩,0,0,0,0
268,塩,0,0,0,0
269,醤油,3,0.3,0,0.4
270,砂糖,12,0,0,3
271,グラニュー糖,12,0,0,3
272,中濃ソース,8,0,0,1.8
274,トマトケチャップ,14,0.2,0,3.3
276,マヨネーズ,84,0.2,9,0.5
277,和風ドレッシング,12,0.5,0,2.4
278,フレンチドレッシング,69,0,7.1,1
279,サウザンアイランドドレッシング,71,0.2,7,1.6
280,はちみつ,21,0,0,5.6
281,いちごジャム,54,0.1,0,13.3
282,マーマレード,54,0,0,13.3
283,ブルーベリージャム,38,0.1,0.1,9.2
284,ごま,18,0.6,1.6,0.6
285,バター,30,0,3.2,0
